truth,temporal_asymmetry,initial_m,final_m,regime_code,regime
-0.74,-0.42000000000000004,0.6,-0.9277343022506399,0,neutral
-0.74,-0.4,0.6,-0.9277320260192764,0,neutral
-0.74,-0.38000000000000006,0.6,-0.9277289532767761,0,neutral
-0.74,-0.36000000000000004,0.6,-0.9277248052320841,0,neutral
-0.74,-0.34,0.6,-0.9277192054541462,0,neutral
-0.74,-0.32000000000000006,0.6,-0.9277116456273703,0,neutral
-0.74,-0.30000000000000004,0.6,-0.9277014392569197,0,neutral
-0.74,-0.28,0.6,-0.9276876590507792,0,neutral
-0.74,-0.26,0.6,-0.9276690521633466,0,neutral
-0.74,-0.24,0.6,-0.9276439253644647,0,neutral
-0.74,-0.22000000000000008,0.6,-0.9276099892632933,0,neutral
-0.74,-0.20000000000000007,0.6,-0.9275641466236182,0,neutral
-0.74,-0.18000000000000005,0.6,-0.927502204040072,0,neutral
-0.74,-0.16000000000000003,0.6,-0.927418478011878,0,neutral
-0.74,-0.14,0.6,-0.9273052545052697,0,neutral
-0.74,-0.12,0.6,0.8288731044708416,1,self_fulfilling
-0.74,-0.09999999999999998,0.6,0.851466652739596,1,self_fulfilling
-0.74,-0.08000000000000007,0.6,0.8640373915249813,1,self_fulfilling
-0.74,-0.06000000000000005,0.6,0.8719555133127844,1,self_fulfilling
-0.74,-0.040000000000000036,0.6,0.8772449498329951,1,self_fulfilling
-0.74,-0.020000000000000018,0.6,0.8808995126257864,1,self_fulfilling
-0.74,0.0,0.6,0.8834786680062264,1,self_fulfilling
-0.74,0.020000000000000018,0.6,0.885324712271194,1,self_fulfilling
-0.74,0.039999999999999925,0.6,0.8866588892340125,1,self_fulfilling
-0.74,0.05999999999999994,0.6,0.8876297122243908,1,self_fulfilling
-0.74,0.07999999999999996,0.6,0.8883395750898302,1,self_fulfilling
-0.74,0.09999999999999998,0.6,0.8888604436506476,1,self_fulfilling
-0.74,0.12,0.6,0.8892436080423575,1,self_fulfilling
-0.74,0.14,0.6,0.8895259969814632,1,self_fulfilling
-0.74,0.15999999999999992,0.6,0.8897343983876675,1,self_fulfilling
-0.74,0.17999999999999994,0.6,0.8898883511853258,1,self_fulfilling
-0.74,0.19999999999999996,0.6,0.8900021647878253,1,self_fulfilling
-0.74,0.21999999999999997,0.6,0.8900863501423477,1,self_fulfilling
-0.74,0.24,0.6,0.8901486451220054,1,self_fulfilling
-0.74,0.26,0.6,0.8901947554539603,1,self_fulfilling
-0.74,0.28,0.6,0.8902288934973741,1,self_fulfilling
-0.74,0.30000000000000004,0.6,0.8902541718881395,1,self_fulfilling
-0.74,0.32000000000000006,0.6,0.8902728921680625,1,self_fulfilling
-0.74,0.3400000000000001,0.6,0.89028675697534,1,self_fulfilling
-0.74,0.3599999999999999,0.6,0.8902970263477755,1,self_fulfilling
-0.74,0.3799999999999999,0.6,0.8903046330274472,1,self_fulfilling
-0.74,0.3999999999999999,0.6,0.8903102676135463,1,self_fulfilling
-0.74,0.41999999999999993,0.6,0.8903144414989014,1,self_fulfilling
-0.74,0.43999999999999995,0.6,0.8903175334143443,1,self_fulfilling
-0.74,0.45999999999999996,0.6,0.8903198238656748,1,self_fulfilling
-0.74,0.48,0.6,0.8903215206210905,1,self_fulfilling
-0.74,0.5,0.6,0.8903227775795176,1,self_fulfilling
-0.74,0.52,0.6,0.8903237087413626,1,self_fulfilling
-0.74,0.54,0.6,0.8903243985543196,1,self_fulfilling
-0.74,0.56,0.6,0.8903249095755501,1,self_fulfilling
-0.74,0.5800000000000001,0.6,0.8903252881467674,1,self_fulfilling
-0.74,0.6000000000000001,0.6,0.8903255685977842,1,self_fulfilling
-0.74,0.6199999999999999,0.6,0.8903257763602178,1,self_fulfilling
-0.74,0.6399999999999999,0.6,0.890325930273981,1,self_fulfilling
-0.74,0.6599999999999999,0.6,0.8903260442958633,1,self_fulfilling
-0.74,0.6799999999999999,0.6,0.8903261287652208,1,self_fulfilling
-0.74,0.7,0.6,0.8903261913415883,1,self_fulfilling
-0.74,0.72,0.6,0.8903262376992622,1,self_fulfilling
-0.74,0.74,0.6,0.8903262720418501,1,self_fulfilling
-0.74,0.76,0.6,0.8903262974834532,1,self_fulfilling
-0.74,0.78,0.6,0.8903263163310496,1,self_fulfilling
-0.74,0.8,0.6,0.8903263302936891,1,self_fulfilling
-0.7200000000000001,-0.8,0.6,-0.9273325906673969,0,neutral
-0.7200000000000001,-0.78,0.6,-0.9273325829934167,0,neutral
